Model,Accuracy,AUC,Precision,Recall,F1,MCC
logistic,0.965214638692999,0.99339559743526,0.9771246535401893,0.9528748946925021,0.9648474293127655,0.9307202174191712
decision_tree,0.998003974464942,0.9980018871845878,0.9969699623434627,0.9990522325189554,0.9980100113087463,0.9960100976629407
naive_bayes,0.9180398501661889,0.9745010396215983,0.9752857399317815,0.858150800336984,0.9129765005741814,0.8422363014641565
random_forest,0.9998856901675958,0.9999808343446565,0.9997718858025233,1.0,0.999885929890756,0.9997714054562123
xgboost,0.9991294866609218,0.9999677284322204,0.9982829008462846,0.999982448750351,0.9991319520556954,0.9982604130053007
knn,0.9547948578161546,0.987353408715564,0.962523422860712,0.946626649817467,0.9545088531204927,0.9097168980367587
